OBJECTID,osm_way_id,name,building,Material,_damage,damage_num,SP_count,SP_mean,SP_median,SP_stdev,SP_min,SP_max,SP_Range,Cul_count,Cul_mean,Cul_median,Cul_stdev,Cul_min,Cul_max,Cul_Range,BF_count,BF_mean,BF_median,BF_stdev,BF_min,BF_max,BF_Range,Mid_count,Mid_mean,Mid_median,Mid_stdev,Mid_min,Mid_max,Mid_Range,CulG_count,CulG_mean,CulG_median,CulG_stdev,CulG_min,CulG_max,CulG_Range,BFG_count,BFG_mean,BFG_median,BFG_stdev,BFG_min,BFG_max,BFG_Range,SPG_count,SPG_mean,SPG_median,SPG_stdev,SPG_min,SPG_max,SPG_Range,MidG_count,MidG_mean,MidG_median,MidG_stdev,MidG_min,MidG_max,MidG_Range,HSPG_count,HSPG_mean,HSPG_median,HSPG_stdev,HSPG_min,HSPG_max,HSPG_Range,Sat_count,Sat_mean,Sat_median,Sat_min,Sat_max,Sat_stdev,Sat_Range
2,7553886,Auto Depot,yes,1,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,2775,0.0830518,0.067204133,5.97674E-05,0.425930411,0.066390405,0.425870643
4,7554274,Island Finance,commercial,3,significant,2,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,1330,0.094787729,0.069931775,5.97674E-05,0.410897672,0.077754975,0.410837905
5,7564898,,residential,4,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0
7,7575764,,yes,1,partial,1,,,,,,,0,,,,,,,0,,,,,,,0,2582,0.088208795,0.088208795,0,0.088208795,0.088208795,0,,,,,,,0,,,,,,,0,,,,,,,0,2582,0,0,0,0,0,0,,,,,,,0,436,0.152330151,0.151539996,0.001403784,0.286548048,0.061562778,0.285144264
8,7580073,,yes,1,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,546,0.141137328,0.131776139,0.000564009,0.331150562,0.060143227,0.330586552
9,7580074,,yes,3,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,212,0.137577379,0.142358452,0.008940513,0.283692032,0.063241971,0.274751519
10,7580075,,yes,2,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,634,0.072939513,0.048922665,0.000146493,0.373188257,0.068735996,0.373041764
11,7580076,,yes,2,partial,1,6220,0.107729994,0.107729994,0,0.107729994,0.107729994,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,6220,0.152577922,0.152577922,0,0.152577922,0.152577922,0,,,,,,,0,6220,0.055555556,0.055555556,0,0.055555556,0.055555556,0,1054,0.224970537,0.235476345,5.44198E-07,0.454578847,0.083321818,0.454578302
12,7583220,,yes,1,destroyed,3,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,782,0.239831746,0.229497537,0.002216391,0.391986728,0.07454832,0.389770337
15,43230761,University of Sint Maarten,yes,6,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,5671,0.078749895,0.06408181,8.16729E-06,0.658820629,0.065653685,0.658812462
