OBJECTID,osm_way_id,name,building,Material,_damage,damage_num,SP_count,SP_mean,SP_median,SP_stdev,SP_min,SP_max,SP_Range,SPG_count,SPG_mean,SPG_median,SPG_stdev,SPG_min,SPG_max,SPG_Range
6880,521559414,,yes,3,destroyed,3,314,0.095405735,0.065302178,0.089243927,0.001160298,0.40195623,0.400795933,314,0.138328332,0.124639586,0.097201529,0.000244106,0.470985711,0.470741605
16371,525652807,,yes,0,destroyed,3,327,0.176714277,0.177795216,0.098999367,0.000114454,0.47091791,0.470803456,327,0.218909088,0.149382859,0.188104507,0.000363256,0.71016717,0.709803913
6744,521554575,,yes,3,destroyed,3,9017,0.117017653,0.07713715,0.110259325,8.43E-06,0.636130035,0.636121607,9017,0.115942854,0.071743242,0.124074321,0.000165572,0.843137264,0.842971692
9378,521648836,,house,3,destroyed,3,1811,0.132838,0.080759645,0.127569089,4.49E-05,0.545311511,0.545266633,1811,0.184446043,0.165949211,0.13494563,6.12E-06,0.616637647,0.616631523
6745,521554596,,yes,4,destroyed,3,5141,0.183724527,0.161308184,0.127962509,2.91E-05,0.760784328,0.760755211,5141,0.166387864,0.144176856,0.117466961,9.67E-05,0.674509823,0.674413112
12388,525363626,,yes,3,destroyed,3,484,0.221286847,0.227859467,0.132716983,0.001908098,0.709803939,0.707895841,484,0.125048117,0.096590877,0.099549816,0.000333133,0.541176498,0.540843365
4538,521466757,,yes,1,destroyed,3,671,0.182609352,0.166821629,0.134411459,0.000734875,0.637860656,0.63712578,671,0.257971168,0.174034655,0.21112915,0.000395584,0.746024132,0.745628548
6743,521554458,,yes,3,destroyed,3,4043,0.185437187,0.161928058,0.138420114,2.91E-05,0.823529422,0.823500305,4043,0.192878897,0.154920101,0.149487288,6.12E-06,0.713725507,0.713719383
6742,521554279,,yes,4,destroyed,3,4536,0.221048015,0.204135016,0.138648257,0.000173437,0.674385071,0.674211633,4536,0.193454853,0.174569368,0.12791837,0.000292935,0.653366983,0.653074048
9552,521786342,,yes,3,destroyed,3,3671,0.347199014,0.384643406,0.144516947,0.000712572,0.624902308,0.624189736,3671,0.26820176,0.251887351,0.172403654,2.07E-06,0.717260718,0.717258645
8898,521620840,,yes,1,destroyed,3,1028,0.214686819,0.192318797,0.147927871,6.50E-05,0.788235307,0.788170343,1028,0.243811715,0.228201106,0.164616022,0.000165572,0.75686276,0.756697188
6530,521548792,,yes,3,destroyed,3,4259,0.228325197,0.200075895,0.149417262,1.55E-05,0.835294127,0.835278604,4259,0.182451169,0.148541734,0.162733037,4.57E-05,0.850980401,0.85093466
6739,521554008,,yes,3,destroyed,3,3314,0.167913473,0.118580304,0.150526556,0.000644898,0.835294127,0.83464923,3314,0.330178912,0.336145282,0.200624106,0.000187899,0.835294127,0.835106228
